矩阵大小,列访问时间(ms),列StdDev,行访问时间(ms),行StdDev,加速比,内存占用(KB),L1缓存倍数,L2缓存倍数,L3缓存倍数
613,0.43913,0.02865,0.10020,0.00643,4.383,2940.48,61.26,1.44,0.10
614,0.42807,0.01530,0.09660,0.00466,4.431,2950.08,61.46,1.44,0.10
615,0.44197,0.02509,0.10093,0.00750,4.379,2959.69,61.66,1.45,0.10
616,0.44283,0.02026,0.09873,0.00874,4.485,2969.31,61.86,1.45,0.10
617,0.43737,0.02487,0.10453,0.00995,4.184,2978.95,62.06,1.45,0.10
618,0.43037,0.01246,0.10137,0.01474,4.246,2988.61,62.26,1.46,0.10
619,0.44143,0.02806,0.10257,0.00623,4.304,2998.28,62.46,1.46,0.10
620,0.44650,0.03521,0.10290,0.00920,4.339,3007.97,62.67,1.47,0.10
621,0.45893,0.03819,0.10383,0.00847,4.420,3017.67,62.87,1.47,0.10
622,0.45947,0.03106,0.11650,0.03432,3.944,3027.39,63.07,1.48,0.10
623,0.45883,0.02949,0.10500,0.01435,4.370,3037.12,63.27,1.48,0.10
