矩阵大小,列访问时间(ms),列StdDev,行访问时间(ms),行StdDev,加速比,内存占用(KB),L1缓存倍数,L2缓存倍数,L3缓存倍数
665,0.47773,0.09090,0.18470,0.06264,2.587,3460.08,72.08,1.69,0.11
666,0.35377,0.01867,0.17420,0.03223,2.031,3470.48,72.30,1.69,0.11
667,0.35533,0.01453,0.17640,0.02528,2.014,3480.91,72.52,1.70,0.11
668,0.41370,0.06824,0.17063,0.01118,2.424,3491.34,72.74,1.70,0.11
669,0.36347,0.02551,0.17350,0.00998,2.095,3501.80,72.95,1.71,0.11
670,0.35800,0.02656,0.17133,0.01081,2.089,3512.27,73.17,1.71,0.11
671,0.36307,0.02366,0.17507,0.01146,2.074,3522.75,73.39,1.72,0.11
672,0.61387,0.09212,0.22027,0.03919,2.787,3533.25,73.61,1.73,0.12
673,0.37593,0.02775,0.18433,0.00957,2.039,3543.77,73.83,1.73,0.12
674,0.36197,0.02809,0.17433,0.01141,2.076,3554.30,74.05,1.74,0.12
675,0.37023,0.02700,0.25860,0.05454,1.432,3564.84,74.27,1.74,0.12
676,0.47060,0.08013,0.20877,0.01338,2.254,3575.41,74.49,1.75,0.12
677,0.36997,0.02634,0.17477,0.00753,2.117,3585.98,74.71,1.75,0.12
678,0.36200,0.02486,0.18177,0.05928,1.992,3596.58,74.93,1.76,0.12
679,0.36853,0.02174,0.17547,0.00756,2.100,3607.19,75.15,1.76,0.12
680,0.43497,0.01490,0.17600,0.01147,2.471,3617.81,75.37,1.77,0.12
681,0.36923,0.01717,0.17763,0.01016,2.079,3628.45,75.59,1.77,0.12
682,0.36730,0.01797,0.22490,0.02826,1.633,3639.11,75.81,1.78,0.12
683,0.38237,0.02162,0.19180,0.02724,1.994,3649.78,76.04,1.78,0.12
684,0.42950,0.03350,0.18127,0.01429,2.369,3660.47,76.26,1.79,0.12
685,0.38040,0.02401,0.18250,0.01089,2.084,3671.17,76.48,1.79,0.12
686,0.37487,0.02421,0.17927,0.02137,2.091,3681.89,76.71,1.80,0.12
687,0.41493,0.07135,0.25070,0.03660,1.655,3692.62,76.93,1.80,0.12
688,0.67693,0.12822,0.24980,0.06704,2.710,3703.38,77.15,1.81,0.12
689,0.44293,0.10477,0.24743,0.02559,1.790,3714.14,77.38,1.81,0.12
690,0.38753,0.05199,0.20327,0.04646,1.907,3724.92,77.60,1.82,0.12
691,0.41050,0.02676,0.22020,0.04545,1.864,3735.72,77.83,1.82,0.12
692,0.43857,0.03559,0.18720,0.01890,2.343,3746.53,78.05,1.83,0.12
